OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30242,2023-131H,2025-07-28T06:52:53.630976,15.02532116,.000137,43.0036,285.7718,267.7552,92.3134,0,U,57739,999,10646,-.32633E-4,-.644E-5,0
STARLINK-30331,2023-131J,2025-07-28T16:03:25.011072,15.27574519,.0001401,43.0000,284.5442,210.0806,149.9965,0,U,57740,999,10624,-.19595E-4,-.801E-5,0
STARLINK-30364,2023-131K,2025-07-28T14:07:34.997664,15.02533910,.0001049,43.0037,309.4868,275.6857,84.3866,0,U,57741,999,10609,.2652E-4,.155E-5,0
STARLINK-30308,2023-131L,2025-07-28T08:03:50.648832,15.02553006,.0001195,43.0033,311.0286,230.5523,129.5214,0,U,57742,999,10618,-.11284E-3,-.1728E-4,0
STARLINK-30361,2023-131M,2025-07-28T14:02:47.432544,15.02534794,.000105,43.0026,309.4631,269.4171,90.6551,0,U,57743,999,10610,-.12158E-4,-.368E-5,0
STARLINK-30363,2023-131N,2025-07-28T12:59:26.504736,15.02529426,.0001316,43.0039,297.2140,274.6230,85.4463,0,U,57744,999,10635,.15881E-3,.1942E-4,0
STARLINK-30362,2023-131P,2025-07-28T07:35:05.117280,15.02531728,.0001235,43.0049,310.8820,269.1991,90.8710,0,U,57745,999,10617,.21589E-4,.88E-6,0
STARLINK-30350,2023-131Q,2025-07-28T17:52:36.252192,15.02551613,.0001061,43.0000,308.9211,306.0907,53.9837,0,U,57746,999,10622,-.94366E-4,-.1479E-4,0
STARLINK-30307,2023-131R,2025-07-28T07:36:41.000544,15.02530845,.0001221,43.0058,310.8894,271.2110,88.8592,0,U,57747,999,10617,.38963E-4,.323E-5,0
STARLINK-30356,2023-131S,2025-07-28T13:48:24.495264,15.02531439,.0001188,43.0035,309.3841,269.7540,90.3166,0,U,57748,999,10621,-.15973E-5,-.225E-5,0
STARLINK-30366,2023-131T,2025-07-28T22:53:59.918208,15.02563878,.0001377,43.0049,307.0650,275.1807,84.8878,0,U,57749,999,10616,-.44056E-3,-.6154E-4,0
STARLINK-30357,2023-131U,2025-07-28T07:11:06.304992,15.02530033,.0001131,43.0036,310.7532,273.7657,86.3056,0,U,57750,999,10617,.45295E-4,.408E-5,0
STARLINK-30370,2023-131V,2025-07-28T12:54:39.308544,15.02534382,.0001251,43.0040,297.2244,268.9857,91.0842,0,U,57751,999,10624,.17308E-4,.3E-6,0
STARLINK-30368,2023-131W,2025-07-28T14:12:22.463424,15.02545358,.0001698,43.0023,309.4769,279.6830,80.3820,0,U,57752,999,10621,.17916E-4,.38E-6,0
STARLINK-30343,2023-131X,2025-07-28T23:13:10.805088,15.02539151,.0001283,43.0034,307.1679,274.9635,85.1061,0,U,57753,999,10616,.79371E-5,-.96E-6,0
STARLINK-30397,2023-134A,2025-07-28T08:55:44.907456,15.02533683,.000129,43.0026,336.7668,262.3295,97.7401,0,U,57771,999,10572,-.38834E-4,-.728E-5,0
STARLINK-30354,2023-134B,2025-07-28T09:14:45.477312,15.02533583,.0001394,43.0043,336.0052,268.4679,91.6003,0,U,57772,999,10573,.30745E-4,.212E-5,0
STARLINK-30383,2023-134C,2025-07-28T08:50:57.050304,15.02534668,.0001485,43.0045,336.7435,271.6799,88.3874,0,U,57773,999,10572,.19508E-4,.6E-6,0
STARLINK-30384,2023-134D,2025-07-28T19:51:27.541440,15.02534046,.0001446,43.0044,334.1643,266.7022,93.3655,0,U,57774,999,10555,.11294E-4,-.51E-6,0
STARLINK-30305,2023-134E,2025-07-28T16:44:48.163488,15.02531212,.0001299,43.0038,334.9125,275.3944,84.6750,0,U,57775,999,10553,-.33428E-4,-.655E-5,0
STARLINK-30360,2023-134F,2025-07-28T14:59:29.133600,15.02530104,.000106,43.0037,335.2245,280.3468,79.7255,0,U,57776,999,10576,-.10282E-4,-.342E-5,0
STARLINK-30355,2023-134G,2025-07-28T16:25:36.728832,15.02525723,.0001288,43.0046,334.7852,269.1939,90.8756,0,U,57777,999,10576,.84695E-4,.94E-5,0
STARLINK-30385,2023-134H,2025-07-28T18:30:31.076928,15.02531730,.0001583,43.0038,321.7480,262.9025,97.1637,0,U,57778,999,10577,-.46025E-4,-.825E-5,0
STARLINK-30359,2023-134J,2025-07-28T08:46:34.042656,15.02527640,.0001398,43.0019,323.8991,273.2022,86.8660,0,U,57779,999,10587,.13126E-3,.1569E-4,0
STARLINK-30380,2023-134K,2025-07-29T01:21:36.223200,15.02583673,.0001583,43.0036,332.4384,259.1778,100.8886,0,U,57780,999,10559,-.71899E-3,-.9915E-4,0
STARLINK-30369,2023-134L,2025-07-28T16:20:49.424640,15.02529256,.0001182,43.0037,334.7751,263.0388,97.0320,0,U,57781,999,10570,-.68784E-4,-.1132E-4,0
STARLINK-30376,2023-134M,2025-07-28T09:29:08.585664,15.02535453,.000151,43.0051,336.0834,269.4827,90.5843,0,U,57782,999,10573,.75769E-5,-.101E-5,0
STARLINK-30389,2023-134N,2025-07-29T01:45:37.355328,15.02529630,.0001192,43.0040,332.5699,267.3792,92.6914,0,U,57783,999,10559,.23561E-3,.298E-4,0
STARLINK-30388,2023-134P,2025-07-28T16:06:26.280000,15.02523601,.0001228,43.0045,334.7112,267.2900,92.7802,0,U,57784,999,10577,.25202E-3,.3201E-4,0
STARLINK-30381,2023-134Q,2025-07-28T09:09:55.761696,15.02557999,.0001091,43.0044,335.8907,272.5652,87.5066,0,U,57785,999,10573,-.32612E-3,-.4609E-4,0
STARLINK-30382,2023-134R,2025-07-29T01:36:00.412416,15.02541066,.0001453,43.0056,332.5186,270.1137,89.9539,0,U,57786,999,10559,.68631E-4,.724E-5,0
STARLINK-30378,2023-134S,2025-07-29T01:02:26.761920,15.02531059,.0001696,43.0051,332.3421,266.4751,93.5897,0,U,57787,999,10583,.54145E-4,.528E-5,0
STARLINK-30387,2023-134T,2025-07-28T07:15:27.750528,15.02536216,.0001566,43.0041,323.4372,267.6150,92.4513,0,U,57788,999,10587,-.13622E-4,-.388E-5,0
STARLINK-30372,2023-134U,2025-07-28T20:11:14.494272,15.27569071,.0001514,43.0001,262.5529,264.5553,95.5126,0,U,57789,999,10663,-.13675E-4,-.638E-5,0
STARLINK-30373,2023-134V,2025-07-29T06:00:02.000160,15.44298923,.0017337,42.9952,279.1799,32.4178,21.6651,0,U,57790,999,10647,.29131E-2,.140256E-2,0
STARLINK-30367,2023-134W,2025-07-29T01:16:49.933344,15.02538670,.0001527,43.0039,332.4182,276.7133,83.3536,0,U,57791,999,10568,-.24173E-4,-.53E-5,0
STARLINK-30304,2023-138A,2025-07-29T02:49:43.908384,15.44965178,.0016229,42.9951,239.2713,72.9261,287.3374,0,U,57808,999,10656,.4715E-3,.2259E-3,0
STARLINK-30374,2023-138B,2025-07-29T03:15:26.655552,15.02522646,.0001335,43.0046,11.1539,266.1175,93.9514,0,U,57809,999,10508,-.52248E-4,-.909E-5,0
STARLINK-30394,2023-138C,2025-07-28T17:36:15.564672,15.02546683,.0002987,43.0034,13.2973,271.2285,88.8215,0,U,57810,999,10492,-.44618E-4,-.807E-5,0
STARLINK-30379,2023-138D,2025-07-28T04:45:37.861632,15.02534633,.0001368,43.0044,16.1617,266.3697,93.6989,0,U,57811,999,10494,.39898E-4,.335E-5,0
STARLINK-30395,2023-138E,2025-07-28T11:03:45.357696,15.02530946,.000123,43.0050,14.6908,263.5034,96.5668,0,U,57812,999,10498,.69849E-5,-.109E-5,0
STARLINK-30403,2023-138F,2025-07-28T17:21:53.667648,15.02525675,.0001559,43.0042,13.2227,278.8031,81.2635,0,U,57813,999,10491,-.12575E-3,-.1901E-4,0
STARLINK-30413,2023-138G,2025-07-29T04:03:12.036384,15.02530819,.0001183,43.0039,10.5475,275.8293,84.2415,0,U,57814,999,10508,.13104E-4,-.27E-6,0
STARLINK-30398,2023-138H,2025-07-28T10:54:09.514656,15.02535397,.0001246,43.0042,14.6408,269.1366,90.9334,0,U,57815,999,10488,.17491E-4,.33E-6,0
STARLINK-30386,2023-138J,2025-07-28T17:12:16.757568,15.02532548,.0001272,43.0052,13.1718,266.0168,94.0529,0,U,57816,999,10474,.19576E-4,.61E-6,0
STARLINK-30391,2023-138K,2025-07-29T04:17:34.246176,15.02540623,.0001147,43.0034,10.6181,263.6919,96.3793,0,U,57817,999,10508,.56511E-4,.56E-5,0
STARLINK-30401,2023-138L,2025-07-28T18:38:24.948960,15.02536207,.0001188,43.0043,12.7607,266.1123,93.9584,0,U,57818,999,10492,-.26558E-5,-.239E-5,0
STARLINK-30390,2023-138M,2025-07-28T04:12:04.186944,15.02532855,.0001395,43.0051,15.9864,270.0240,90.0442,0,U,57819,999,10488,.13707E-4,-.19E-6,0
STARLINK-30409,2023-138N,2025-07-29T03:48:47.831616,15.02562943,.0002025,43.0068,10.4496,272.1920,87.8690,0,U,57820,999,10503,-.53305E-3,-.7402E-4,0
STARLINK-30415,2023-138P,2025-07-29T03:55:12.128448,15.02540163,.0001235,43.0046,10.5016,254.6507,105.4199,0,U,57821,999,10508,.15703E-4,.9E-7,0
STARLINK-30407,2023-138R,2025-07-28T07:54:33.666912,15.27573219,.0001004,43.0025,315.8465,273.7541,86.3196,0,U,57823,999,10565,-.47E-4,-.1555E-4,0
STARLINK-30408,2023-138S,2025-07-29T03:53:36.551904,15.02531782,.0001328,43.0043,10.4924,263.7813,96.2878,0,U,57824,999,10508,-.27913E-4,-.581E-5,0
STARLINK-30377,2023-138T,2025-07-27T21:10:47.738208,15.02536803,.0001356,43.0060,17.2341,262.9200,97.1488,0,U,57825,999,10479,.36897E-5,-.154E-5,0
